Year,Day,Lat,Long,Magnitude
1971,107,48,35,2.8
1971,140,42,-24,2
1971,192,43,-47,1.9
1972,2,54,101,1.9
1972,261,12,46,1
1972,341,51,45,1.4
1972,344,-20,-80,1.2
1973,39,33,35,0.8
1973,72,-84,-134,3.2
1973,171,-1,-71,2.2
1973,274,-37,-29,1.1
1974,54,36,-16,0.7
1974,86,-48,-106,1.6
1974,109,-37,42,0.9
1974,149,25,25,0.6
1974,192,21,88,2.7
1975,3,29,-98,3.2
1975,12,75,40,1.7
1975,13,-2,-51,1.1
1975,44,-19,-26,1.4
1975,127,-49,-45,1.3
1975,147,3,-58,1.4
1975,314,-8,64,1.8
1976,4,50,30,1.8
1976,12,38,44,1.1
1976,66,50,-20,2.3
1976,68,-19,-12,1.8
1976,137,77,-10,1.5
